type;name;01.01.2015;01.01.2016;01.01.2017;01.01.2018;01.01.2019;01.01.2020
D;31.15;0;0;0;0;0;0
D;32.15;0;0;0;0;0;0
D;33.15;26.7295;0;0;0;0;0
D;34.15;38.8579;0;0;0;0;0
D;35.15;0;0;0;0;0;0
D;36.15;0;0;0;0;0;0
D;37.15;0;0;0;0;0;0
D;38.15;0;0;0;0;0;0
D;39.15;16.6454;0;0;0;0;0
D;40.15;0;0;0;0;0;0
D;41.15;17.1046;0;0;0;0;0
D;42.15;0;0;0;0;0;0
D;43.15;8.706;0;0;0;0;0
D;44.15;0;0;0;0;0;0
D;45.15;0;0;0;0;0;0
D;46.15;0;0;0;0;0;0
D;47.15;16.0453;0;0;0;0;0
D;48.15;0;0;0;0;0;0
D;49.15;0;0;0;0;0;0
D;50.15;0;0;0;0;0;0
D;51.15;32.678;0;0;0;0;0
D;52.15;0;0;0;0;0;0
D;53.15;13.9374;0;0;0;0;0
D;54.15;11.5596;0;0;0;0;0
D;55.15;0;0;0;0;0;0
D;56.15;0;0;0;0;0;0
D;57.15;0;0;0;0;0;0
D;58.15;7.8613;0;0;0;0;0
D;59.15;0;0;0;0;0;0
D;60.15;7.8609;0;0;0;0;0
D;61.15;16.2724;0;0;0;0;0
D;62.15;12.3136;0;0;0;0;0
D;63.15;5.8867;0;0;0;0;0
D;64.15;13.6534;0;0;0;0;0
D;65.15;0;0;0;0;0;0
D;66.15;0;0;0;0;0;0
D;67.15;0;0;0;0;0;0
D;68.15;0;0;0;0;0;0
D;1.16;0;0;0;0;0;0
D;2.16;0;0;0;0;0;0
D;3.16;13.7678;0;0;0;0;0
D;4.16;7.6877;0;0;0;0;0
D;5.16;9.381;0;0;0;0;0
D;6.16;41.7875;0;0;0;0;0
D;7.16;4.0349;0;0;0;0;0
D;8.16;15.7827;0;0;0;0;0
D;9.16;11.7563;8.2684;0;0;0;0
D;10.16;15.5568;0;0;0;0;0
D;11.16;11.3163;15.3986;0;0;0;0
D;12.16;9.9835;0;0;0;0;0
D;13.16;41.1424;62.9195;0;0;0;0
D;14.16;0;0;0;0;0;0
D;15.16;25.5208;0;0;0;0;0
D;16.16;9.4558;15.5896;0;0;0;0
D;17.16;17.549;30.2425;0;0;0;0
D;18.16;14.6529;4.1829;0;0;0;0
D;19.16;42.8132;22.9379;0;0;0;0
D;20.16;19.5693;10.0117;0;0;0;0
D;21.16;15.7852;0;0;0;0;0
D;22.16;12.9462;16.7625;0;0;0;0
D;23.16;0;0;0;0;0;0
D;24.16;28.1263;0;0;0;0;0
D;25.16;0;0;0;0;0;0
D;26.16;2.8305;0;0;0;0;0
D;27.16;0;0;0;0;0;0
D;28.16;47.1602;0;0;0;0;0
D;29.16;4.7295;0;0;0;0;0
D;30.16;0;0;0;0;0;0
D;31.16;40.7205;0;0;0;0;0
D;32.16;8.4994;5.2529;0;0;0;0
D;33.16;27.1018;21.942;0;0;0;0
D;34.16;14.713;0;0;0;0;0
D;35.16;16.9324;10.4618;0;0;0;0
D;36.16;0;0;0;0;0;0
D;37.16;5.0292;0;0;0;0;0
D;38.16;71.4322;0;0;0;0;0
D;39.16;9.6871;0;0;0;0;0
D;40.16;13.1908;0;0;0;0;0
D;41.16;13.6894;16.5374;0;0;0;0
D;42.16;17.7907;13.6506;0;0;0;0
D;43.16;0;0;0;0;0;0
D;44.16;9.7583;11.4588;0;0;0;0
D;45.16;0;0;0;0;0;0
D;46.16;12.0415;0;0;0;0;0
